ORDER;AGE50PL;CUSTID;TSLBO;GENDER;CKBK068;CKBK082;CKBK177;CKBK211;TPAID
0;0;716596216;7;3;0;0;0;0;3
0;0;765219032;3;1;0;0;0;0;1
0;0;568610124;2;1;0;0;0;0;1
0;0;700920987;1;1;0;0;0;0;1
0;0;263758746;3;1;0;0;0;0;1
0;0;477848742;4;1;0;0;0;0;1
0;0;998628447;8;3;1;0;0;0;2
0;0;337985797;3;1;0;0;0;0;1
0;0;353720018;1;1;0;0;0;0;1
0;0;495421781;2;2;1;0;0;0;1
0;0;472964950;3;1;0;0;0;0;1
0;0;419086101;4;2;0;0;1;0;1
0;0;132921152;9;3;0;0;0;0;4
0;0;363103708;3;1;0;0;0;0;1
0;0;516570178;7;1;0;0;0;0;1
0;0;775292183;9;1;0;0;0;0;1
0;0;999047857;2;1;0;0;1;0;1
0;0;813933967;4;3;0;0;0;0;1
0;0;968911266;6;1;0;0;0;0;1
0;0;358738851;3;2;0;0;0;0;1
0;0;276390345;7;3;0;0;0;0;1
0;0;561980462;1;1;1;0;0;0;2
0;0;239890957;3;1;0;0;1;0;1
0;0;378122955;3;1;0;0;0;0;2
0;0;431100161;1;2;0;0;0;0;1
0;0;731672650;1;1;0;0;0;0;1
0;0;384915427;10;3;0;0;0;0;2
0;0;486369049;8;3;0;0;0;0;1
0;0;617782493;4;1;0;1;0;0;2
0;0;398858334;1;1;0;0;0;0;1
0;0;188968751;3;2;0;0;0;0;1
0;0;399023694;3;1;0;0;0;0;2
0;0;192584700;7;1;0;0;0;1;1
0;0;708583388;1;3;0;0;1;0;2
0;0;914660423;1;3;1;0;0;0;2
1;0;829470987;1;1;1;0;0;0;3
0;0;608049229;6;3;0;0;1;1;1
0;0;498087847;7;1;0;0;0;0;1
0;0;200458023;9;1;0;0;0;0;2
0;0;634878514;1;3;0;0;0;0;2
0;0;317605234;2;1;0;0;0;0;1
0;0;503547760;1;1;0;0;0;0;2
0;0;530876219;1;2;0;0;0;0;1
0;0;60833479;3;2;0;1;0;0;1
0;0;847691536;3;2;0;0;1;0;1
0;0;931164183;1;1;0;0;0;0;1
0;0;339928012;3;3;0;0;0;0;2
0;0;629220909;1;3;1;1;0;0;1
0;0;276777981;5;2;0;0;0;0;3
0;0;751853150;1;1;0;0;0;0;1
0;0;161286412;5;1;0;0;0;0;1
0;0;432897573;6;3;0;0;0;0;4
0;0;32434810;6;1;0;0;1;1;1
0;0;492395143;2;3;0;0;0;0;1
1;0;716671463;3;3;0;0;0;0;2
0;0;517691777;1;1;0;0;0;0;2
0;0;302746293;3;3;0;1;0;0;1
0;0;444100735;7;2;0;0;1;1;2
0;0;84271931;2;1;0;0;0;0;1
0;0;29900521;3;1;0;0;0;0;1
1;0;139562167;3;1;0;0;0;0;1
0;0;613433457;7;3;0;0;0;0;2
0;0;731313397;3;3;0;0;0;0;4
0;0;120919624;6;2;0;0;0;0;1
0;0;865944944;8;1;0;0;0;0;2
0;0;545895504;7;1;0;0;0;0;1
0;0;495689784;4;3;0;1;0;0;1
0;0;392420485;9;3;0;0;1;0;1
0;0;991329195;3;1;0;0;0;0;1
0;0;408114127;2;2;0;0;1;0;1
0;0;631517296;3;1;0;0;0;0;2
0;0;475902274;3;3;0;0;1;0;3
0;0;186852363;1;3;0;0;0;0;2
1;0;567197639;1;3;0;0;1;0;2
0;0;78847842;1;3;0;0;0;0;1
0;0;125035016;3;1;0;0;0;0;2
0;0;218520662;7;1;0;0;1;0;3
0;0;283216197;1;3;0;0;0;0;1
0;0;985624602;1;2;0;1;1;0;5
0;0;34768514;4;1;0;0;0;0;1
0;0;487678022;1;1;0;0;0;0;2
0;0;868287468;1;1;0;0;0;0;2
0;0;260465174;1;1;0;0;0;0;3
0;0;997325741;2;1;1;0;0;0;2
0;0;352403180;3;1;0;1;0;0;3
0;0;750701915;5;1;0;0;0;0;1
0;0;968343231;5;1;0;0;0;0;3
0;0;440106746;4;3;0;0;0;0;1
0;0;313881186;3;2;0;0;1;0;1
0;0;917160672;6;2;0;0;0;0;1
0;0;812750170;2;1;0;0;0;0;2
0;0;891480450;5;1;0;0;0;0;5
0;0;44757517;3;1;0;0;0;0;1
0;0;997934604;4;1;0;0;1;0;2
0;0;277960893;3;1;0;0;0;0;2
0;0;673474076;7;3;0;0;0;0;1
0;0;239723409;5;3;0;0;0;0;1
0;0;365800414;4;3;0;0;0;0;1
0;0;450763398;1;3;0;1;0;0;2
0;0;460064642;4;3;0;0;0;0;4
0;0;259340767;6;3;0;0;0;0;1
0;0;702631642;3;2;0;0;0;0;1
0;0;355260586;7;1;0;0;0;0;3
0;0;222185921;11;3;0;0;0;0;3
0;0;854288864;1;3;0;0;0;0;1
0;0;213249558;3;1;0;0;1;0;1
0;0;186927228;1;2;1;0;1;0;2
0;0;394315342;1;2;0;0;0;0;7
0;0;223749881;3;1;0;0;0;0;2
0;0;214730496;11;2;0;0;0;1;1
1;0;178481556;4;3;0;0;0;0;1
0;0;598514024;7;1;0;0;0;0;1
0;0;778278968;4;1;0;0;1;0;1
0;0;901132005;1;1;1;1;1;1;3
0;0;708133608;1;2;1;0;1;0;4
0;0;74656591;7;1;0;0;0;0;2
0;0;531340815;3;1;0;0;0;0;2
0;0;704009284;6;3;0;0;0;0;2
0;0;684492809;4;1;0;0;0;0;1
0;0;200206332;3;1;0;0;0;0;2
0;0;682514154;1;2;0;0;0;0;1
0;0;262937713;11;1;0;0;0;0;2
0;0;12770606;2;1;0;0;0;0;1
0;0;965021858;1;2;0;0;1;0;1
0;0;602403166;3;3;0;0;0;1;1
0;0;501233531;6;1;0;0;0;0;3
0;0;252999702;3;2;0;0;0;0;1
0;0;651979396;3;2;0;0;0;0;2
0;0;104125362;4;2;0;1;0;0;4
0;0;236002860;5;3;0;0;0;0;1
0;0;721590138;5;1;0;0;0;0;1
0;0;410976040;1;1;0;0;0;0;1
0;0;439692040;1;2;0;0;1;0;2
0;0;458224462;3;1;0;0;0;0;1
0;0;129308397;7;1;0;0;0;0;1
0;0;167669588;7;1;0;0;0;0;2
0;0;440665383;5;2;0;0;0;0;1
0;0;239266237;2;2;1;1;0;0;1
0;0;828308221;10;2;0;0;0;0;1
0;0;609494601;1;1;0;0;0;0;1
0;0;9043925;2;1;0;0;0;1;1
0;0;742334635;4;2;0;0;0;0;2
1;0;290552154;2;3;0;0;0;0;1
1;0;915144883;1;2;0;0;0;0;2
0;0;71833581;3;2;0;0;0;0;3
0;0;204091364;5;1;0;0;0;0;1
0;0;204343781;7;1;0;0;0;0;1
0;0;569829244;7;3;0;0;0;0;1
0;0;769301234;5;3;0;0;0;0;2
0;0;732132945;3;1;0;0;0;0;1
0;0;186246016;3;3;0;0;0;0;1
